x,y,z
-1.752874,2.553555,0.768259
-2.256292,0.72374,0.323775
-1.909765,0.425348,0.320185
-1.609097,0.315908,0.255127
-1.61263,-0.426752,0.298783
-1.596325,-0.525212,0.132381
-1.060799,0.275625,-0.002706
-0.992284,1.40608,-0.111566
-1.206335,1.259696,-0.347882
-0.992564,0.672787,-0.547531
-1.067933,0.647924,-0.658053
-1.184888,0.882002,-0.752105
-0.643832,0.194108,-0.757058
-0.23052,0.429657,-0.613467
-0.205881,0.446855,-0.141163
-0.238917,-0.127734,-0.011403
-0.178148,-0.471531,0.130467
0.045699,-0.397046,0.48979
0.615788,-1.648964,0.58297
1.226356,-3.096304,0.494018
1.724358,-3.641368,0.239686
2.059628,-2.87021,0.241039
2.269062,-1.495181,0.120031
2.462253,-1.100132,0.260811
2.639274,-0.512399,-0.083741
3.064922,-0.046665,-1.036355
3.660523,-0.16944,-1.218976
2.973241,-1.593415,-0.698524
1.993106,-2.455789,0.025331
1.778791,-2.381501,0.547167
1.187832,-2.776803,1.079794
0.772967,-2.482388,1.339301
0.719589,-2.04023,0.836297
0.528514,-1.622057,0.323817
0.151956,-0.899546,0.320261
-0.252073,-0.193568,0.478903
-0.767705,0.666911,0.459244
-1.313824,1.669011,0.480851
-1.724808,1.952349,0.576962
-1.277459,0.848186,0.590047
-0.656633,0.509708,0.514701
0.653198,-0.150707,0.164705
0.524446,0.364522,0.367176
0.212403,-0.391019,0.436467
-0.369462,-0.436157,0.241249
-1.112287,2.044329,-0.310843
1.145783,-0.160673,-0.965225
1.582146,0.363966,-0.675497
-0.294279,1.417464,-0.63227
-1.17676,2.934732,-0.745064
